id,title,zone,macro,phase,business_goal
1,Триггер,ОРБИТА,AWARE,САЙТ,"быть в поле, когда запрос созревает"
2,Осознание,ОРБИТА→САЙТ,AWARE,САЙТ,зритель → размеченный визит (UTM)
3,Любопытство,САЙТ,AWARE,САЙТ,"удержать внимание, показать «для кого»"
4,Рассмотрение,САЙТ,JOIN,САЙТ,"дать факты для решения (цена, программа)"
5,Оценка,САЙТ,JOIN,САЙТ,"снять риски, показать «изнутри»"
6,Захват/Lead,САЙТ,JOIN,САЙТ,получить контакт (lead)
7,Прогрев,САЙТ+ОРБИТА,JOIN,САЙТ,дозреть до оплаты
8,Конверсия/оплата,ШОВ,JOIN,САЙТ,успешная оплата (доступные способы)
9,Онбординг,CIRCLE,USE,ПЛАТФОРМА,довести до первого действия (North Star ч.1)
10,Активное обучение,CIRCLE,USE,ПЛАТФОРМА,привычка + видимый прогресс
11,Трансформация,CIRCLE,DEVELOP,ПЛАТФОРМА,a-ha с гарантированным откликом (эссе)
12,Удержание и рост,CIRCLE,DEVELOP,ПЛАТФОРМА,продление / LTV / пауза вместо отписки
13,Адвокация,CIRCLE→ВНЕ,ADVOCATE,ПЛАТФОРМА,рефералы и роли
