persona_id,stage_id,goal,action,channels,pains,emotion_value,emotion_value2,emotion_term,emotion_note,aha,data,voice,opportunities,tasks
P1,1,"понять мир/себя яснее; ощущение, что не хватает цельной системы.",переживает внутренний запрос; потребляет разрозненный контент (не обязательно «философию»).,YouTube АО (фоном); Instagram школы.,знания не складываются в систему; поверхностный контент выветривается; нет проводника — «варюсь один». 🟢,0,,Pensiveness (задумчивость),"Запрос зреет фоном: знания не складываются в систему, но события-кризиса нет. Мягкая задумчивость внешнего кольца — ноль, а не минус: ему не больно, ему не хватает.",—,🔴 этап неизмерим в GA; запрос никак не поймать.,"🟢 R8: «Философия фигурировала, но на периферии… не было целостного подхода».",короткие «болевые» форматы под триггеры (Shorts/Reels) → ведут на длинную лекцию.,Серия Shorts/Reels под триггеры с UTM. Владелец: SMM. Impact: высокий. Effort: средний. Метрика: охват + CTR в длинную лекцию.
P1,2,"понять, что за Школа у АО и есть ли там «путь глубже роликов».",видит анонс Школы в видео/описании канала; кликает ссылку из описания. 🟢,"YouTube (описание, анонс в ролике) → www. 🟢",в описании несколько ссылок без пояснений — «куда именно идти?»; ссылка иногда ведёт сразу в Circle. 🟢,1,,Interest (интерес),"Анонс Школы отвечает на многолетнее ожидание «пути глубже роликов» — интерес, но ещё не решение: одно касание, среднее кольцо.",—,"🟢 YouTube — единственный сильный канал: 9,35% визит→подписка (vs ~5%); 🟢 «Элиты»: 3 ссылки без UTM; 🟢 Direct 43–46% не атрибутируется.","🟢 R8: «Будучи подписанным на канал несколько лет, я с большим интересом воспринял новость об открытии школы».",1 видео = 1 ссылка с UTM на посадочную www (не в Circle); анонс-связка «ролик → страница темы».,UTM-дисциплина всех ссылок канала. Владелец: SMM. Impact: высокий. Effort: низкий. Метрика: доля размеченных сессий; % Direct ↓. СТАТУС: в работе ✓
P1,3,"за 2 минуты понять, «что здесь есть и что из этого — моё».",сканирует главную; открывает «Школа»/«курсы»; уходит «подумать» (мульти-визит). 🟢,"www: главная, страницы продуктов; мобильный. 🟢",сущностей много — «карта города» не считывается; сайт грузится медленно; нет «начни здесь». 🟢,1,,Anticipation (предвкушение),"Уже предвкушает «моё место», но сайт заставляет разбираться (грузится медленно, «карты города» нет) — потому предвкушение не поднимается выше +1.",—,"🟢 LCP 5,7 с; dead clicks 8%; 95% визитов — без клика на подписку.","🟢 R22: «Кто-то же должен сделать всё как надо! Когда увидел Школу — понял, именно этого я искал».",карта продуктов «город» на одном экране; квиз «с чего начать»; ускорение загрузки.,"1) Перф-аудит Wix (Тарас; LCP < 2,5 с). 2) Квиз-роутер (Дизайн+Tech; % прошедших; CTR в дверь). СТАТУС: квиз = ФОКУС, концепты готовы."
P1,4,"решить, за что платить, если лекции бесплатны на YouTube; выбрать School vs курс.","изучает страницу курса/тарифы; ищет цену, программу; сравнивает с YouTube. 🟢","/course, тарифы, /samopoznanie. 🟢",на странице курса НЕТ ЦЕНЫ; разница Школа/курс/Полис не объяснена; ценность против бесплатного YouTube не сформулирована. 🟢,-1,,Annoyance (досада),"Готов сравнивать и решать — а цены на странице курса нет. Досада, а не гнев: решение откладывается, но интерес жив (Clarity: сессии по 5–19 минут).","MoT №1: «мне хватает фактов, чтобы решиться?» — сейчас чаще НЕТ. 🟢",🟢 /course без цен; 🟢 Clarity: ~10 сессий читали 5–19 мин и не записались; 🟢 «Элиты»: 68 новых → 0 чекаутов.,🟢 ушедшая №1: «Мне очень понравилась программа…» (интерес есть — ломается дальше).,цена + CTA на каждой странице курса; блок «Школа vs курс vs YouTube» (порядок · отклик · путь); FAQ «сколько времени нужно».,⭐ Цены на страницы курсов. Владелец: директор + Tech. Impact: ВЫСОКИЙ. Effort: низкий. Метрика: CTR страница→чекаут.
P1,5,"убедиться: «это серьёзно, мне подойдёт, я потяну».",перечитывает программу; ищет отзывы и «как внутри»; прикидывает время/деньги; откладывает.,"www, отзывы, соцдоказательства.","не видно «как внутри» (Circle снаружи не показан); страх «куплю и заброшу»; нет отзывов «таких, как я». 🟡",-1,,Apprehension (опасение),"Фактов мало, «как внутри» не видно — включается опасение «куплю и заброшу». Знак минус: сомнение уже тормозит, но конфликта ещё нет.",MoT №2: «решаюсь / откладываю» — сейчас чаще «отложил и остыл». 🟡,🟢 мульти-визиты до покупки; 🔴 причины откладывания не измеряются.,🟢 R4: «Переслушивала снова и снова… очень хотела понять».,видео-тур «Школа изнутри за 2 минуты»; блок «первые 14 дней»; отзывы с профессиями.,Видео-тур + блок «первые 2 недели» (Дизайн+SMM; конверсия страницы в чекаут). Отзывы из опроса — быстрая задача.
P1,6,"попробовать без риска; оставить контакт, «не продавая душу».",жмёт «подписаться»; начинает форму; бросает на середине. 🟢,форма Wix; переход в Circle-регистрацию.,форма длинная/казённая; регистрация в незнакомой Circle ДО понимания ценности. 🟢,-2,,Anger (злость),"Форма теряет 92% начавших: он готов оставить контакт, а его ведут регистрироваться в незнакомую Circle до понимания ценности. Злость сильнее досады: барьер рукотворный и, с его инженерной точки зрения, бессмысленный.",—,🟢 form_start 529 → submit 41 (−92%); 🟢 лид-магнита нет (download 37); 🟢 «Элиты»: логин-стена отсекает новых.,🟢 ушедшая №4: «Не понравилась организация сайта и доступа к курсу».,квиз вместо формы (только email); лид-магнит «результат квиза + PDF»; автописьмо сразу.,⭐ ФОКУС: квиз + email-захват (концепты 3×2 + ТЗ S1 готовы). Владелец: Заказчик (выбор) + Дизайн + Tech + SMM. Метрика: form CR 8% → 30%+.
P1,7,"дозреть в своём темпе, не потеряв интереса.",смотрит новые видео АО; изредка возвращается; ждёт «знака».,YouTube; email (почти пусто); повторные Direct-заходы.,между визитами Школа молчит — интерес остывает. 🟡,0,,Boredom (остывание),"Школа молчит между визитами — эмоция не отрицательная, а никакая: остывание. Ноль здесь опаснее минуса: минус помнят, ноль забывают.",—,🟢 email-цепочки нет; 🟢 повторные визиты = Direct (не атрибутируются); 🟡 зритель зреет месяцами.,🟢 R16: «Старался обучаться через его видео… очень обрадовался открытию Школы».,welcome-цепочка 3–5 писем по мотиву из квиза; дайджест «что было в Полисе».,Welcome-серия (SMM; open rate; лид→оплата %). Появится вместе с квизом.
P1,8,"заплатить быстро, надёжно, привычным способом.",жмёт «купить» → Circle-чекаут (Stripe); карта РФ не проходит; ретраит; уходит. 🟢,Circle checkout (Stripe); узел /checkout. ШОВ Wix→Circle.,«я ГОТОВ платить — и не могу»: РФ-карты не принимаются; чужая платформа на самом ответственном шаге. 🟢,-2,,Rage (ярость) — ДНО,"«Я готов платить — и не могу»: деньги в руке, отказ по техническим причинам (карты РФ/UA). Самая злая из возможных ситуаций — потому центр колеса, ярость, а не «досада». Дно всей карты.",⭐⭐ MoT №3 — ГЛАВНЫЙ: срыв на оплате. 🟢,🟢 1011 чекаут-людей → 97 подписок School (~10:1); 🟢 failed payment 6% — люди не НАЧИНАЮТ оплату; 🟢 РФ+UA ≈ 44% аудитории.,🟢 ушедшая №1: «Не смогла технически перевести деньги»; «…рассрочка и доступный способ оплаты».,PayPal (UA/диаспора) + отдельный маршрут для РФ + страница «Как оплатить из вашей страны».,⭐⭐ Остаток дыры №1: PayPal + решение РФ. Владелец: Заказчик + Tech. СТАТУС: Klarna ✓ подключена (рассрочка EU); РФ не решена.
P1,9,"понять, куда попал и с чего начать; не почувствовать себя глупым.",логинится в Circle; блуждает; ищет «начало»; смотрит первую лекцию; молчит. 🟢,"Circle (пространства, форум); onboarding-письма (если есть).",навигация запутана; нет «начни здесь»; страшно написать первый пост («тихий новичок»); «я тут один». 🟢,-1,,Distraction (растерянность),"Заплатил — и заблудился: навигация запутана, «начни здесь» нет. Растерянность, а не злость: он уже внутри и настроен разобраться.",MoT №4: первый ОТКЛИК школы на его действие. 🟡,🔴 Circle — слепая зона GA; 🟢 North Star (модуль 1 + возврат 30 дн) не измеряется.,"🟢 R23: «Трудности находить видеозаписи, конспекты»; 🟢 R22: «Непонятно, как попасть в группу».",трек «Начни здесь» (5 шагов до первого отклика); buddy на 30 дней; видео-гид.,«Начни здесь» + замер North Star → детали на онбординг-сессии. Владелец: Кураторы + Tech + Аналитика.
P1,10,"держать ритм, видеть прогресс, получать отклик.",смотрит лекции (в записи); конспектирует; читает форум молча.,"Circle: лекции, форум, клубы; Telegram-группы.",нет ощущения прогресса; ритм сбивает работа; «какие вопросы здесь уместны?». 🟢,1,,Trust (доверие),"Ритм появился, лекции идут — доверие растёт, но хрупко: прогресса не видно, вопросы копятся. Среднее кольцо, не выше.",—,🔴 вовлечённость не измеряется системно; 🟢 отток «жизнь/время» = 4 из 8 ушедших — риск живёт здесь.,"🟢 R4: «Часто стыдно что-либо писать»; 🟢 ушедшая №5: «…организовывались в малые группы, и я написала эссе».",прогресс-трек; куратор с фидбэком ≤7 дней; малые группы «сверху»; random coffee.,Прогресс-вкладка + малые группы под куратором (Circle-админ + Кураторы; % в группах к 30-му дню; retention 60 дн).
P1,11,собрать из услышанного СВОЁ мировоззрение; проверить себя делом.,пишет первое эссе «Моё мировоззрение»; публикует; получает отклик (или откладывает).,форум Circle; аттестация.,страшно вынести своё на публику; эссе без отклика «повисает». 🟢,2,,Amazement (изумление),"Эссе «Моё мировоззрение» плюс отклик: «мир разделился на до и после» (R22). Изумление-трансформация — центр колеса, пик карты.",⭐ MoT №5: эссе + ОТКЛИК = точка невозврата (a-ha = действие + отклик). 🟢,🟢 оставшиеся называют эссе поворотом; 🟡 ушедшие уходят ДО эссе (проверяется локатором).,"🟢 R22: «Мир разделился на до и после»; 🟢 R13: «Не просто письменная работа, а важный этап самопонимания».",гарантированный отклик на первое эссе (SLA ≤7 дн); мягкий дедлайн «эссе в первые 60 дней»; «лестница» из 3 мини-шагов.,SLA отклика на первое эссе ≤7 дн (Кураторы; % новичков с эссе за 60 дн; % эссе с откликом ≤7 дн).
P1,12,встроить Школу в жизнь надолго; расти дальше вводного уровня.,продлевает подписку; идёт в клубы; ИЛИ жизнь сжимает → пауза/отписка.,Circle; платёж продления; клубы.,продление = платёжный квест; «после подписки всё пропадёт»; опции «паузы» нет; «что дальше для меня?». 🟢,1,-1,Trust / вилка: Serenity · Pensiveness 🔴,Вилка: ритм жив — спокойное доверие продлению; жизнь сжала — задумчивость об уходе. Развилка документирована оттоком: «жизнь/время» = 4 из 8 ушедших.,вилка «продлить / пауза / уйти».,"🟢 отток (n=8): жизнь=4, деньги=1, темп=1, UX=1, оплата=1; 🟢 8/8 хотят вернуться; 🟢 Polis −75%, Basic −69%.",🟢 ушедший №7: «Я изначально был настроен продолжать»; 🟢 №8: «Вкладка „мой прогресс“… собрать путь как конструктор».,пауза-подписка; алюмни-доступ; годовой план с рассрочкой (Klarna ✓); продвинутый трек (см. P5).,⭐ Пауза в флоу отмены (Circle-админ) + ⭐ Win-back к сентябрю (SMM+Кураторы; % вернувшихся; 6/8 согласны на Zoom).
P1,13,"отдавать; вести своё; быть «архитектором, а не слушателем».",рекомендует; буддирует новичка; ведёт малую группу; задумывает свой проект.,Circle-роли; внешние площадки.,"путь к роли непрозрачен; титул через 4 года — далеко, промежуточных ролей нет. 🟡",2,,Admiration (восхищение),"Ведёт своих: рекомендует, буддирует новичка. Восхищение — зрелая, устойчивая форма доверия; центр колеса со знаком плюс.","MoT №6: первый СВОЙ вклад (провёл встречу, привёл ученика). 🟡",🔴 рефералы не считаются; 🔴 NPS не замеряется.,🟢 R6: «Ни в коем случае не останавливайтесь — вы нам нужны»; 🟢 R27: «Стал счастливым в этом стремлении».,лестница ролей buddy → модератор → ведущий; реферальная механика; витрина проектов.,Программа ролей + учёт рефералов (Кураторы + Аналитика; % учеников с ролью).
