persona_id,stage_id,status,text
P1,1,yellow,запрос не измеряем в GA
P2,1,yellow,кризис — контент его не адресует
P3,1,yellow,одиночество — контент его не адресует
P4,1,green,контент адресует его запрос: тематическое видео на YouTube
P5,1,green,запрос созрел сам — адресовать не требуется
ALL,1,,верх воронки не размечен
P1,2,green,UTM внедряются ✓ (в работе)
P2,2,yellow,узнаёт случайно
P3,2,yellow,«есть ли там люди?» — не видно
P4,2,green,UTM внедряются ✓
P5,2,green,доверие к АО — есть
ALL,2,,"UTM: список сделан ✓, размечают видео"
P1,3,yellow,медленный сайт; нет «карты города»
P2,3,yellow,сайт без «двери» её состояния
P3,3,yellow,"сайт показывает контент, не людей"
P4,3,red,логин-стена до понимания оффера
P5,3,yellow,уровень школы не виден на сайте
ALL,3,,нет «карты города» и квиза — ФОКУС
P1,4,red,нет цены на страницах курсов — проверить
P2,4,green,«Самопознание» виден ✓; нет захвата на странице
P3,4,red,/polis не продаёт среду (−75%)
P4,4,red,нет цены: 0 новых чекаутов
P5,4,green,лестница доступа к АО работает
ALL,4,,Самопознание виден ✓; цены на страницах курсов — проверить
P1,5,yellow,не видно «как внутри»
P2,5,yellow,страх «не потяну»; отзывов нет
P3,5,yellow,нет голосов и лиц
P4,5,yellow,нет полной программы и дат
P5,5,yellow,страх «смешают с новичками»
ALL,5,,нет отзывов (материал есть — 28 цитат!)
P1,6,orange,ФОКУС: квиз вместо формы −92%
P2,6,orange,ФОКУС: квиз S1 греет к €600
P3,6,yellow,лид-магнит = живое событие (не PDF)
P4,6,yellow,нет «напомнить о старте»
P5,6,green,покупает быстро — не мешать
ALL,6,,ФОКУС НЕДЕЛИ: квиз + email (концепты и ТЗ готовы 05.07)
P1,7,yellow,школа молчит между визитами
P2,7,yellow,прогрева нет
P3,7,yellow,нет приглашения на открытый симпосий
P4,7,gray,малозначим
P5,7,gray,пропускает
ALL,7,,email-цепочек нет (после квиза появятся)
P1,8,red,"Klarna ✓, но РФ не решена"
P2,8,green,Klarna рассрочка ✓
P3,8,yellow,оплата: часть гео ждёт PayPal
P4,8,yellow,способ оплаты: ждёт PayPal
P5,8,yellow,продление из РФ — не решено
ALL,8,,Klarna ✓ · PayPal ищут (UA/диаспора) · РФ нужен отдельный маршрут
P1,9,red,навигация; North Star не мерим
P2,9,yellow,страх темпа с первых недель
P3,9,red,первая встреча ≤14 дней не гарантирована
P4,9,yellow,«где мой курс»
P5,9,yellow,онбординг не различает уровень
ALL,9,,"онбординг: «начни здесь», встреча, уровень → отдельная сессия"
P1,10,yellow,нет ощущения прогресса
P2,10,red,темп = главный отток
P3,10,yellow,часовые пояса; мало малых групп
P4,10,yellow,нет Q&A с лектором
P5,10,red,нет салона; слабый отклик на эссе
ALL,10,,прогресс · отклик · темп = ядро удержания
P1,11,green,эссе + отклик работает
P2,11,green,эссе = её пик
P3,11,green,клубный a-ha работает
P4,11,green,курс-a-ha работает
P5,11,red,год 2 = повтор года 1
ALL,11,,a-ha работает — гарантировать отклик каждому
P1,12,yellow,нет паузы; «жизнь сжала»
P2,12,yellow,нет паузы / камерности с АБ
P3,12,yellow,нет ритуалов среды / дайджеста
P4,12,red,"конец курса = обрыв, мостика нет"
P5,12,red,тихий уход — никто не заметил
ALL,12,,пауза + мостики + win-back (8/8 хотят вернуться)
P1,13,yellow,"роли есть, учёта нет"
P2,13,green,готова рекомендовать
P3,13,green,приводит своих
P4,13,yellow,"рекомендует, но не считаем"
P5,13,yellow,некуда вернуться (нет алюмни)
ALL,13,,адвокацию не инструментируем
EXPL,1,,"«Запрос» — внутренняя потребность, с которой человек приходит, до первого контакта со школой. По персонам запрос разного типа:
P1 — интеллектуальный: «хочу систему вместо фрагментов»;
P2 — экзистенциальный: перелом — выгорание, переезд, возраст, родительство;
P3 — социальный: одиночество мысли, нет разговора на родном языке;
P4 — тематический: разобраться в конкретной теме — элиты, вера, истина;
P5 — зрелый: углубить собственный многолетний путь.

В строке два разных вопроса — измерение и адресация.
«Запрос не измеряем в GA» — этап происходит вне сайта, аналитика видит человека только после первого клика. Это верно для всех персон; в ячейку P1 вынесено потому, что остальное у него в порядке: его запрос годами кормится роликами АО, а момент созревания — «пора учиться системно» — мы не видим и никак не подхватываем.
«Контент адресует запрос» — наши материалы (ролики, реклама, первые экраны) называют потребность человека его собственными словами. У P4 это происходит: тематическое видео на YouTube попадает точно в его тему. У P2 и P3 — нет: о переломе и об одиночестве наш контент не говорит. У P5 адресация не требуется: запрос созрел без нас; наша задача — распознать её позже, в квизе (вердикт «Всё стоит»)."
